age,sex,educ,race,income,married,pid
40,0,13,4,70000,1,968
30,1,5,1,39000,1,969
29,1,10,,13000,0,970
43,0,11,3,15500,0,971
50,,14,4,100000,1,972
63,0,11,1,,1,973
55,1,13,,62000,1,974
25,0,13,3,26000,0,975
70,1,14,1,7770,,976
33,,11,1,275000,0,977
39,0,13,2,100050,1,978
30,1,11,1,36810,0,979
23,,9,3,6500,1,980
65,0,9,1,26750,1,981
37,1,9,1,8100,,982
37,0,14,1,61250,1,983
76,1,13,1,6050,1,984
57,1,10,1,15000,0,985
49,1,13,1,57130,1,986
84,1,8,1,10000,0,987
32,0,3,,0,1,988
71,0,9,1,26550,1,989
58,0,13,1,92200,1,990
56,1,9,1,32000,1,991
51,0,13,2,48000,1,992
51,0,15,1,5400,1,993
53,1,13,1,200,1,994
20,0,,2,2000,0,995
73,0,3,3,,0,996
38,1,2,3,0,0,997
50,0,13,1,22000,1,998
44,1,14,4,500,1,999
29,1,11,1,66400,0,1000
31,0,1,3,17000,0,2
,1,11,1,0,1,3
34,0,9,1,0,1,6
69,0,13,1,350000,1,8
89,1,9,1,4000,,14
39,1,10,3,15000,0,15
,0,11,2,45000,0,18
24,0,7,1,0,0,
87,1,8,1,3600,0,25
58,,13,1,60900,1,27
35,0,9,1,30000,0,32
63,1,9,3,35800,1,34
29,0,1,3,21200,1,
44,0,13,1,50000,1,37
53,,5,3,17300,1,41
42,0,10,1,38000,,42
32,0,11,1,19000,1,43
50,0,16,1,52650,1,44
18,0,4,3,0,0,45
40,1,13,1,40000,1,46
52,0,11,1,325000,1,48
56,1,14,1,52000,1,
39,0,8,1,18000,0,51
28,0,10,1,49000,1,52
46,1,13,1,47000,1,53
45,0,11,3,50000,,54
22,1,9,1,5000,1,56
21,0,3,3,12000,1,58
38,0,1,3,1800,,61
48,1,12,,76000,1,64
26,1,,3,12000,1,68
37,1,14,1,65000,0,69
30,0,5,3,13000,1,
70,1,15,4,1800,1,71
31,0,9,3,28000,1,74
20,0,,3,8400,0,75
47,0,7,1,155100,1,77
23,0,11,1,66000,0,81
43,1,11,,8000,1,86
31,0,10,3,,0,87
74,0,11,,24400,0,89
50,0,,3,18000,1,94
28,0,11,2,8100,1,95
77,0,4,3,12400,1,100
30,0,6,3,40000,1,103
50,1,9,3,60000,0,105
63,0,12,1,94100,1,108
37,1,10,3,10800,0,112
76,0,13,4,680,0,113
42,0,14,1,115370,1,119
22,1,11,1,0,1,120
19,0,10,2,14000,0,124
42,1,9,1,3000,,134
47,0,1,2,220,0,135
22,0,,4,7000,1,142
86,1,9,1,12020,1,146
33,0,12,3,33000,0,147
36,0,12,1,60000,1,150
29,0,6,1,28000,0,152
72,1,13,1,21600,1,157
59,0,13,1,30000,1,158
33,0,13,4,92000,1,159
50,0,16,4,90000,1,163
30,0,13,4,62300,1,166
22,1,13,1,4800,0,169
44,1,13,1,25000,,172
35,0,12,3,27000,0,174
29,0,9,1,,1,178
21,0,11,1,16000,0,180
43,1,13,,1330,1,181
81,0,9,4,21600,1,182
46,0,9,1,0,0,186
29,1,14,4,37100,1,187
40,1,9,1,5800,1,188
24,1,5,3,3500,,189
63,1,12,1,86000,1,190
61,0,1,3,14400,1,
38,0,14,4,72000,1,194
75,0,3,2,8000,0,195
,0,13,1,110300,0,196
,0,13,1,125200,1,199
56,1,12,1,13900,1,203
31,0,15,2,40220,0,204
18,0,7,4,5400,0,207
75,0,13,1,44600,1,210
37,0,13,,56150,1,212
30,1,10,1,27000,1,220
40,0,13,1,11000,0,222
72,,6,1,13800,1,225
,0,12,1,80000,0,230
74,0,11,,73700,1,232
42,1,13,1,3000,,242
51,0,,1,56000,1,244
76,0,9,1,10100,1,249
46,0,13,1,45000,1,256
48,0,11,4,20040,1,
41,0,11,1,41000,0,264
52,1,12,1,23000,1,266
34,,9,1,45000,1,269
66,,11,3,12000,0,270
86,1,9,1,23800,0,271
73,1,11,2,16000,0,
19,1,9,3,0,0,274
37,0,4,3,52000,1,275
85,0,11,1,119700,1,276
62,1,14,1,325000,,280
75,1,8,1,19000,0,282
29,0,11,6,0,0,284
30,0,12,1,36420,1,285
31,0,7,,0,1,289
41,1,9,1,24620,1,
38,0,12,3,40000,1,292
45,,10,1,49000,0,294
28,0,9,1,0,0,296
75,1,9,1,18800,0,301
52,0,12,1,168000,1,302
34,1,13,3,73000,1,
50,0,12,1,58200,0,306
48,0,13,1,140500,1,308
68,0,13,1,31800,1,309
30,,8,1,50000,1,310
67,0,13,1,57200,1,311
84,0,13,1,32100,1,314
67,0,4,2,13500,1,315
74,0,12,1,13000,0,316
72,1,9,4,17100,1,318
,0,5,3,10000,0,320
67,0,6,1,7000,1,322
73,0,13,1,7200,,326
82,0,15,1,138300,1,329
27,0,9,3,44500,0,332
49,0,15,,54000,1,334
53,0,9,1,16940,0,336
40,0,4,3,0,1,
80,0,8,1,28900,1,338
36,0,,4,0,0,339
20,1,9,3,13000,0,343
42,0,13,1,382000,1,345
37,0,11,,52000,1,347
40,0,9,1,38000,0,350
,0,14,1,138100,0,352
47,0,13,1,35300,0,356
58,0,10,1,80000,0,357
26,0,9,1,24000,0,359
36,0,14,3,61900,1,361
22,1,11,1,10600,0,362
46,1,12,1,8400,0,364
71,0,15,1,42000,1,366
42,1,11,2,0,0,370
23,1,12,2,,0,373
65,0,12,1,22800,0,376
35,0,9,1,30000,1,386
23,0,6,3,6100,0,389
51,1,16,1,118000,0,390
71,1,9,1,8000,1,393
44,1,12,1,4930,1,395
38,0,2,3,16000,1,397
25,0,11,1,0,0,398
43,0,13,,25000,1,399
20,0,11,4,,0,400
66,1,9,1,,0,401
62,0,13,1,70000,1,
45,,11,1,69200,0,404
38,1,8,2,1000,1,405
38,0,9,1,100000,1,413
33,1,9,,11000,1,414
27,1,12,3,38000,0,415
58,0,9,1,99000,1,416
73,0,1,3,7200,0,417
19,0,11,3,7000,0,418
,0,13,1,55000,1,421
51,0,1,3,56300,1,422
,0,10,2,1500,0,431
,0,8,3,0,1,432
82,,9,1,20700,1,433
20,1,11,2,8600,0,434
67,,14,1,90300,1,436
,0,13,3,15600,0,437
79,0,6,3,54600,1,438
18,0,8,4,0,0,439
35,0,9,1,,0,442
50,0,8,3,17900,1,446
78,0,5,,0,0,455
36,1,13,4,67000,0,457
31,1,3,3,0,1,459
33,0,13,1,109000,0,462
93,1,2,3,10000,0,463
31,0,3,3,16300,1,466
62,1,12,1,51350,1,468
40,0,13,1,700,0,474
64,0,,1,16000,1,475
27,0,7,3,17000,0,481
34,0,9,3,60100,1,485
37,0,14,1,95000,1,486
31,1,9,,2000,1,487
37,0,10,4,54300,1,492
38,0,13,1,90580,1,494
,0,8,1,22000,0,496
86,,9,1,8700,0,497
23,,8,1,30000,0,500
63,0,13,2,50000,1,501
51,0,13,1,325000,1,503
51,0,14,1,103000,1,506
69,0,11,1,90300,1,507
,0,10,1,60000,0,508
43,1,9,1,8610,0,511
56,0,11,2,44200,0,512
89,1,13,1,7000,0,515
35,0,2,3,32000,1,519
35,0,13,,60000,0,520
32,0,14,1,,0,528
28,0,11,3,13000,1,529
57,0,16,1,123000,1,531
35,0,12,3,27000,1,533
45,0,13,4,80000,1,534
72,0,8,1,14000,1,535
19,1,10,1,2100,0,540
42,,13,1,33400,1,543
42,0,9,2,0,1,544
61,0,9,1,,1,546
46,0,,4,50000,1,550
46,0,13,6,140000,1,552
22,0,13,4,760,0,556
48,0,8,1,57000,0,557
42,0,3,3,19200,1,558
23,0,9,3,46000,0,
34,0,9,2,12100,0,563
61,1,9,1,25000,1,564
70,,6,1,0,0,565
,0,9,1,10100,1,566
66,1,9,,13800,1,568
42,,9,1,14000,1,570
47,1,11,1,,1,571
70,0,13,1,51100,1,572
47,0,9,1,27500,1,573
39,1,9,1,24000,1,575
84,0,11,1,151800,1,577
39,0,9,1,80000,,578
55,1,11,1,0,1,579
26,0,13,4,38800,1,580
35,0,9,1,32000,1,584
43,,5,3,13400,1,591
22,0,7,3,22000,1,594
,0,13,1,0,0,595
30,0,2,3,4000,1,596
18,0,3,3,0,0,601
69,1,11,3,11900,1,602
40,1,11,2,18000,,603
82,1,13,1,29100,,606
34,1,9,1,,1,608
28,0,10,1,280,0,610
,0,11,3,45000,0,614
46,1,12,4,39300,1,615
,0,15,1,93700,1,618
41,0,11,2,72000,0,624
33,0,5,3,5200,0,626
52,0,9,1,34440,1,627
41,0,5,3,7000,,634
75,1,10,1,8320,0,635
,0,11,1,12600,1,640
82,1,9,3,9600,0,642
45,0,15,1,64000,1,643
43,0,13,1,325000,1,650
45,1,9,3,12000,1,651
45,0,13,6,,1,652
29,0,,1,50000,0,666
25,0,9,3,14000,0,667
56,0,14,1,325000,0,668
43,0,11,1,15000,0,
27,0,,4,81000,1,672
60,,11,2,39200,1,680
76,0,3,3,9600,1,681
51,0,12,1,0,0,682
26,,13,1,0,0,684
55,0,16,1,63000,1,691
53,,9,1,69200,1,693
72,0,7,1,20900,1,694
36,1,6,1,25000,0,696
45,1,9,3,24000,0,700
,0,11,1,76000,1,702
22,1,,1,9800,0,704
42,0,1,4,14000,1,
82,0,13,,29800,1,711
32,0,8,1,0,0,714
35,1,13,4,26700,1,716
77,0,4,2,7000,0,719
53,0,14,1,159000,0,721
50,0,13,4,77000,1,723
74,0,11,2,62000,0,725
39,0,13,4,30000,0,728
83,1,9,1,8800,1,730
78,0,16,1,46100,1,734
34,0,9,4,18000,1,735
65,0,9,1,21500,0,743
79,0,9,,22700,1,744
26,1,10,1,23000,0,745
40,,11,3,36000,1,746
22,0,11,1,2600,,751
51,1,11,1,15000,0,754
40,1,3,4,17000,1,755
38,0,7,1,1000,,756
47,0,,1,110000,1,761
44,0,7,3,40800,1,762
51,1,13,1,1600,0,763
23,0,11,1,29000,0,765
68,1,9,1,25200,0,766
52,0,13,4,0,1,768
52,1,9,4,84000,1,772
39,0,5,,25000,1,775
70,0,10,3,16300,1,779
41,1,9,2,10000,0,781
29,1,8,2,325000,0,783
19,0,9,1,6300,0,785
33,0,11,1,5100,0,787
31,0,13,,47000,0,790
29,0,9,1,32000,,792
24,0,3,3,0,1,796
49,0,11,1,5800,0,801
19,1,7,1,3000,0,802
43,1,6,1,28900,0,806
41,0,12,,17900,0,807
62,0,6,1,0,0,808
40,1,3,,0,1,811
18,0,7,1,4000,0,812
52,1,14,1,26600,,816
72,1,9,1,9500,1,
42,,9,3,30000,1,831
24,,7,3,5540,1,834
74,0,9,1,25200,1,841
64,0,14,1,80200,,842
67,0,15,1,95000,1,845
41,0,13,1,45000,1,847
47,0,9,3,62000,1,
75,0,15,1,57370,,851
27,0,9,3,12000,0,852
40,0,10,1,24000,,853
49,0,13,1,80600,0,854
,0,9,3,30000,1,859
45,0,1,3,9000,0,860
57,0,,1,251000,1,864
44,1,10,1,21500,1,865
23,0,5,3,18000,0,866
26,0,10,,13000,1,868
32,,8,1,30000,1,869
21,1,9,1,0,,870
54,0,13,1,56420,1,871
40,0,12,1,,1,874
67,0,11,1,2000,1,878
26,1,9,3,25000,0,882
43,0,13,1,23600,1,884
72,0,,1,15900,1,885
45,0,13,1,72000,1,887
34,0,12,2,71050,1,888
23,0,9,1,20000,0,893
39,1,13,,0,1,898
53,0,13,1,120000,0,899
20,0,3,3,0,0,900
40,1,9,1,62000,0,901
46,0,9,1,23000,,904
39,0,11,1,80080,0,906
22,0,3,3,11000,1,
51,0,15,1,100000,1,911
,0,12,1,140000,1,912
24,0,10,1,43120,1,914
28,0,9,4,20000,0,915
22,0,11,1,12000,0,919
51,0,7,1,19000,0,
40,1,10,1,0,0,923
43,0,,1,23000,1,925
31,1,8,1,10000,1,927
56,1,9,1,0,1,929
73,0,1,1,3000,1,930
67,0,8,3,251000,1,937
57,0,13,2,90000,,942
21,0,9,3,16500,0,945
27,0,,3,14800,1,951
55,0,14,1,75000,1,955
88,1,3,4,6000,0,960
57,0,8,4,23000,1,962
21,1,11,3,18000,0,966
40,,13,4,70000,1,968
30,1,5,1,39000,1,969
43,0,11,3,15500,0,971
50,0,14,4,100000,1,972
63,0,11,1,1700,,973
25,0,13,3,26000,0,975
39,0,13,2,100050,1,978
30,1,11,,36810,0,979
65,,9,1,26750,1,981
37,0,14,,61250,1,983
71,0,9,1,26550,1,989
,0,15,1,5400,1,993
50,0,13,1,22000,1,998
31,0,1,3,17000,0,2
39,0,5,3,37000,0,
34,0,9,1,0,1,6
93,1,8,1,6000,1,7
73,1,13,4,35500,0,13
89,1,9,1,,1,14
32,0,9,,13000,0,17
24,0,7,1,0,,19
43,1,14,1,365000,,22
27,1,11,3,10800,0,
35,0,,1,30000,0,32
36,1,11,3,600,1,33
63,1,9,3,35800,1,34
21,1,9,3,18000,0,35
29,0,1,3,,1,36
44,0,13,1,50000,1,37
43,0,13,3,69800,1,39
32,0,11,1,19000,1,43
50,0,,1,52650,1,44
40,1,13,,40000,1,46
52,0,11,1,325000,1,48
,0,8,1,18000,0,51
28,0,10,1,49000,1,52
45,0,11,,50000,1,54
32,1,9,4,12000,1,55
21,0,,3,12000,1,58
46,0,11,1,85300,1,66
30,0,5,3,13000,1,70
31,0,9,3,28000,1,74
47,0,7,1,155100,1,77
33,1,5,1,4600,0,79
,0,11,1,66000,0,81
23,0,13,1,23500,,83
31,0,10,3,10400,0,87
50,0,2,,18000,1,94
40,0,11,1,40000,0,102
30,0,6,3,40000,1,103
50,1,9,3,60000,0,105
82,1,9,3,,0,106
63,0,12,1,94100,1,108
46,0,15,1,52000,1,110
76,0,13,4,680,0,113
25,0,9,1,0,0,114
34,0,9,3,22500,1,116
32,1,13,1,28030,0,129
38,0,10,1,11200,0,130
40,1,10,1,62700,,131
,0,14,1,20000,1,132
31,1,9,2,23000,0,133
66,0,16,1,120000,1,136
30,0,9,4,30000,0,137
53,0,9,3,6000,0,141
22,0,8,4,7000,1,142
25,0,6,,22000,1,144
33,0,12,3,33000,0,147
23,1,12,3,0,0,149
,0,12,1,60000,1,150
84,1,9,1,5600,1,151
59,0,13,1,30000,1,158
35,1,15,1,80000,1,161
50,0,16,4,90000,1,163
66,,12,1,17000,0,170
49,1,11,3,36000,0,171
,0,7,1,4000,0,173
35,0,12,3,27000,0,174
29,0,9,1,40000,1,178
21,0,11,1,16000,,180
41,1,9,1,31000,1,185
46,0,9,1,0,0,186
61,0,1,3,14400,1,191
86,1,13,,37100,0,193
75,0,3,2,8000,,195
32,,13,1,110300,0,196
64,0,13,1,125200,1,199
57,1,14,1,47500,1,202
53,0,12,1,40000,1,205
29,1,9,1,0,1,206
27,1,3,3,3000,,208
51,1,12,1,30000,1,215
23,1,11,,10210,1,216
,0,14,1,56000,1,223
72,0,6,1,13800,1,225
36,0,12,1,80000,0,
30,0,16,1,61200,0,240
51,0,13,1,56000,1,244
48,0,2,4,10000,1,247
76,0,9,1,10100,1,249
46,0,9,1,9500,0,250
35,0,9,3,1400,1,
72,0,9,1,180000,1,252
28,1,4,3,0,1,
37,,11,1,68000,1,263
41,0,11,1,41000,,264
43,0,3,3,13000,,267
34,0,9,,45000,1,269
37,0,4,3,52000,1,
73,0,15,1,115000,1,278
,1,14,1,325000,1,280
48,0,9,3,41600,0,281
29,0,11,6,0,0,284
,0,12,1,36420,1,285
31,0,7,1,0,,289
45,0,10,1,49000,0,294
42,0,14,1,42500,1,295
28,0,9,1,0,0,296
32,1,1,4,9530,0,297
27,1,14,1,24020,0,299
44,0,13,4,,1,300
75,1,9,1,,0,301
,0,12,1,168000,1,302
60,0,13,4,167000,1,304
34,1,13,3,73000,1,305
50,0,12,1,58200,0,306
47,1,1,3,7530,,307
48,0,13,1,140500,,308
30,0,8,1,50000,1,310
67,,13,1,57200,1,311
84,0,13,,32100,1,314
67,0,4,2,13500,1,315
74,0,12,1,13000,0,316
24,0,5,3,10000,0,320
18,0,11,4,2200,0,
73,,13,1,7200,1,326
68,0,14,1,44000,1,328
27,0,9,,44500,0,332
49,0,15,1,54000,1,334
53,0,9,1,16940,0,336
40,0,4,3,0,1,337
80,0,8,1,,1,338
36,0,11,4,0,0,339
65,1,13,1,0,,342
42,0,13,1,382000,1,345
37,0,11,1,52000,1,347
40,0,9,1,38000,,350
48,1,4,4,13500,0,351
58,0,10,1,80000,0,357
26,0,9,1,24000,0,359
49,0,13,1,12000,0,369
71,0,1,3,9100,1,371
44,1,1,3,18000,0,377
65,,6,1,22300,0,379
20,1,9,1,5900,0,380
88,1,11,1,0,1,383
,1,1,4,10500,0,384
41,0,13,1,36000,1,385
35,0,9,1,30000,1,386
30,1,11,1,38700,1,387
23,1,13,4,,1,388
44,1,12,1,4930,1,395
38,0,2,3,16000,1,397
43,0,13,,25000,1,399
20,0,11,4,4200,0,400
62,0,13,1,70000,1,403
21,0,13,,5000,0,407
20,0,10,4,35400,0,409
22,,11,3,19400,0,411
38,0,9,1,100000,1,413
58,0,9,1,99000,1,416
73,0,1,3,7200,,417
45,0,9,1,36000,0,423
81,1,14,1,6000,0,424
61,0,13,1,95300,1,425
30,1,12,4,10284,0,426
58,1,,1,37000,0,427
46,0,4,3,23100,0,429
47,1,2,3,19000,1,430
23,0,10,2,1500,0,431
67,0,14,1,90300,1,436
32,0,9,3,20000,0,441
35,0,9,1,13000,0,442
46,0,11,1,13500,1,444
28,0,11,3,10000,0,445
,0,8,3,17900,1,446
,1,4,1,8000,1,448
49,0,8,1,30300,1,449
23,1,6,4,,0,450
,1,9,2,0,0,453
82,,3,2,9900,0,454
78,0,,2,0,0,455
36,1,13,4,67000,0,457
33,0,13,1,109000,0,462
31,0,3,3,16300,1,466
23,0,13,1,28000,1,467
42,0,,1,17700,1,473
40,0,13,1,700,0,474
53,0,12,3,76800,1,479
27,,7,3,17000,0,481
29,1,12,4,38000,1,482
28,1,11,4,9000,1,483
37,0,14,1,95000,1,486
53,0,11,,38000,0,490
23,1,9,1,9000,0,491
37,0,10,4,54300,1,492
27,0,8,1,22000,,496
37,1,12,4,13100,1,499
23,0,8,,30000,0,500
51,0,13,,325000,1,503
42,0,9,,64000,1,504
69,0,11,1,90300,1,507
52,0,10,1,60000,0,508
56,0,11,2,44200,0,512
38,0,9,3,7200,0,514
32,0,14,1,66200,0,528
20,0,11,1,1600,0,530
57,0,16,1,123000,1,531
18,0,10,2,2400,0,532
35,0,12,3,27000,1,
,0,13,4,80000,1,534
72,0,8,1,14000,1,535
54,0,12,1,125700,1,536
19,1,10,1,2100,0,540
40,1,12,,17100,0,541
42,0,13,,33400,1,543
,0,9,2,0,1,544
79,1,13,1,31900,1,551
46,0,13,6,140000,1,552
28,1,9,1,12000,0,553
22,0,,4,760,0,556
42,0,3,3,19200,1,558
34,0,9,2,12100,,563
82,0,9,1,10100,1,566
48,0,13,1,44000,1,567
66,1,9,,13800,1,568
47,1,11,1,59000,1,
70,0,13,1,51100,1,572
47,0,9,1,45000,1,574
33,1,9,3,2200,0,576
35,0,9,1,32000,1,584
54,1,11,1,4600,1,587
43,0,5,3,13400,1,591
30,0,13,1,0,0,595
30,0,2,3,4000,1,596
,1,13,1,29100,1,606
57,0,9,1,35000,,607
,0,7,1,25000,0,609
28,0,10,1,280,0,610
34,0,11,3,45000,0,614
32,0,13,1,100000,1,
45,0,14,4,84900,1,621
60,0,8,3,71600,1,622
41,0,11,2,72000,0,624
42,0,3,3,22900,1,628
55,1,7,1,0,1,633
39,0,,2,29000,0,636
40,0,11,1,,1,637
81,0,11,1,12600,1,640
70,0,13,1,36100,0,641
45,0,15,1,64000,1,643
83,1,13,3,9000,0,644
37,0,8,4,30200,0,645
31,1,11,1,12100,0,646
,0,5,3,0,0,647
43,0,13,1,325000,1,650
45,1,9,3,12000,1,
45,0,,6,85000,1,652
24,0,13,1,32000,0,655
38,1,12,2,92000,0,656
62,0,11,1,2000,1,657
30,1,8,3,28250,0,659
40,0,9,4,33000,0,661
29,0,11,1,50000,,666
56,0,14,1,325000,0,668
27,0,9,1,50000,0,669
41,1,13,1,328700,1,670
43,0,11,1,15000,0,671
53,1,13,1,6200,1,674
38,,9,1,100000,0,676
46,0,13,,67500,0,677
23,0,11,2,12000,,678
60,0,11,2,39200,1,680
76,0,3,,9600,1,681
51,0,12,1,0,0,682
54,1,15,1,106200,0,683
40,0,13,2,38500,1,686
55,,16,1,63000,1,691
53,0,9,1,69200,1,693
22,1,11,1,6300,0,706
46,1,3,3,3100,1,
82,0,13,1,29800,1,711
33,1,1,3,0,1,712
44,1,7,1,11500,1,715
83,0,11,1,10800,1,717
60,0,13,,96000,0,720
,0,11,1,75000,1,722
37,0,7,1,50000,,726
39,0,13,,30000,0,728
,1,11,1,18300,0,731
22,,13,1,30380,0,733
34,0,9,4,18000,1,
37,0,15,1,,0,736
,0,11,1,93400,1,737
35,,13,1,65000,1,738
85,0,14,1,19600,0,739
47,0,10,1,43600,1,747
42,1,12,4,40020,1,752
28,,13,1,61130,1,753
38,0,,1,1000,1,756
52,,11,3,0,0,757
47,0,10,1,110000,1,
44,0,7,3,40800,1,762
52,0,13,4,0,1,768
52,1,9,4,84000,1,
25,0,12,1,20000,0,777
70,0,10,3,16300,1,779
44,0,9,4,20000,0,
48,0,14,1,135000,1,784
19,0,9,1,6300,0,785
33,0,11,1,5100,,787
20,0,11,3,3600,0,788
31,0,13,4,47000,0,790
57,0,12,1,58400,1,793
,0,9,3,16000,0,794
54,0,3,,230,1,800
75,0,9,3,22700,1,805
62,0,6,1,0,0,808
40,1,3,3,0,1,811
52,1,14,1,26600,0,816
,1,11,1,26500,0,820
,1,9,3,8500,0,821
20,0,9,1,1300,0,824
36,1,8,3,0,1,827
24,0,7,,5540,1,834
74,0,9,1,25200,1,841
67,0,15,1,95000,1,845
41,0,13,,45000,1,847
47,0,9,3,62000,1,850
75,0,15,1,57370,1,851
40,0,10,1,24000,0,853
49,0,13,1,80600,0,854
45,0,1,3,9000,0,860
57,0,16,1,251000,1,864
44,1,10,1,21500,1,865
23,0,5,3,18000,0,866
26,0,10,3,13000,,868
32,0,8,1,30000,1,869
21,1,,1,0,1,870
40,0,,1,88000,1,874
27,0,12,4,7000,0,881
45,0,13,1,72000,1,887
34,0,12,2,71050,1,888
48,1,13,1,332200,1,889
,1,3,3,325000,1,891
40,1,13,4,0,1,892
36,1,10,,35000,0,895
20,1,9,3,8700,0,897
53,0,13,1,120000,0,899
46,0,9,1,23000,0,904
39,0,11,1,80080,0,906
29,1,11,2,1000,0,907
,1,11,4,58500,0,909
25,0,8,3,0,0,910
51,0,15,1,100000,1,911
28,0,9,4,20000,0,915
22,0,11,1,12000,0,919
45,0,14,1,,1,920
64,0,13,1,52800,1,921
51,0,7,1,19000,0,922
31,1,8,1,10000,1,927
73,0,1,1,3000,1,930
29,0,5,3,17200,1,931
,0,8,3,4000,0,934
,0,8,3,251000,1,937
47,1,,1,0,0,940
,0,13,2,90000,1,942
47,1,11,1,0,1,943
27,0,11,3,15000,0,944
27,0,1,3,14800,1,951
41,0,3,3,28000,1,953
55,0,14,1,75000,,955
18,0,7,1,500,0,956
88,1,3,4,6000,0,960
21,1,11,3,18000,0,
,0,9,2,0,0,967
50,0,14,4,100000,1,
63,,11,1,1700,1,973
25,0,13,3,26000,0,975
33,,11,1,275000,0,977
37,0,14,1,61250,1,983
32,0,3,3,0,1,988
71,0,9,1,,1,989
56,1,9,1,32000,,991
50,0,13,1,22000,,998
31,0,1,3,17000,0,2
69,0,13,1,350000,,8
24,0,7,1,0,0,19
58,,13,1,60900,1,27
44,0,13,1,50000,1,37
53,0,5,,17300,1,41
42,0,10,1,38000,1,42
50,0,16,1,52650,1,44
18,,4,3,0,0,45
28,0,10,1,49000,1,52
45,0,11,3,50000,,54
21,0,3,3,12000,1,
31,0,9,,28000,1,74
47,0,7,1,155100,1,
23,0,11,1,66000,0,81
31,0,10,3,,0,87
74,0,11,1,24400,0,89
50,,2,3,18000,1,94
28,0,11,2,8100,1,95
30,0,6,3,40000,1,103
50,1,9,3,60000,0,
63,0,12,1,94100,1,108
19,0,10,2,14000,0,124
47,0,1,2,220,0,135
22,0,8,4,7000,1,142
59,0,13,1,30000,1,158
30,0,13,4,62300,1,166
22,1,13,1,4800,,169
21,,11,1,16000,0,180
40,1,,1,5800,1,188
,0,1,3,14400,1,191
38,0,,4,72000,1,194
75,0,3,,8000,0,195
40,0,13,1,11000,0,222
76,0,9,,10100,1,249
41,0,11,,41000,0,264
66,0,,3,12000,0,270
29,0,,6,0,0,284
38,0,12,3,40000,1,292
45,0,10,1,49000,0,294
28,0,9,1,0,0,296
,0,13,1,31800,1,309
30,,8,1,50000,1,310
84,0,13,1,32100,1,314
27,0,9,3,44500,0,332
49,0,15,1,54000,1,334
40,0,4,3,0,1,337
80,0,8,1,28900,1,338
42,0,13,1,382000,1,345
37,0,11,1,52000,1,347
40,0,9,1,38000,0,350
44,0,14,1,138100,0,352
47,0,13,1,35300,0,356
58,0,10,1,80000,0,357
26,0,9,1,24000,0,359
36,,14,3,61900,1,361
46,1,12,1,8400,0,364
65,0,12,1,,0,376
,0,9,1,30000,1,386
23,0,6,3,6100,0,389
51,1,16,1,118000,0,390
38,0,2,3,16000,1,397
,0,11,1,0,0,398
20,0,11,4,,0,400
45,1,11,1,69200,0,404
38,0,9,1,100000,1,413
58,0,9,1,99000,1,416
19,0,11,3,7000,0,418
51,0,1,3,56300,1,422
23,0,10,2,1500,0,431
79,0,6,,54600,1,438
78,0,5,2,0,0,455
36,1,13,4,67000,0,457
31,1,3,3,0,1,459
93,1,2,3,10000,0,463
31,0,3,3,16300,1,466
64,0,9,1,16000,1,
34,0,9,,60100,1,485
37,0,14,1,95000,,486
31,1,9,3,2000,1,487
38,0,13,1,,1,494
27,0,8,1,22000,,496
,0,8,1,30000,0,500
51,0,13,1,325000,1,503
51,0,14,1,103000,1,506
52,0,10,1,60000,0,508
43,,9,1,8610,0,511
56,0,11,2,44200,0,512
89,1,13,1,7000,0,515
32,0,14,1,66200,0,528
28,0,11,3,13000,1,529
57,0,16,1,123000,1,
45,0,13,4,80000,1,534
42,0,9,2,0,1,544
46,,13,6,140000,1,552
42,0,3,3,19200,1,558
23,0,9,3,,0,559
,0,9,2,12100,0,563
82,0,9,1,10100,1,566
66,1,9,,13800,1,568
42,0,9,1,14000,1,570
70,0,13,1,51100,1,572
47,0,9,1,27500,1,573
39,1,9,1,24000,1,575
84,0,11,1,151800,1,577
39,0,9,1,80000,1,578
43,0,,3,13400,1,591
18,0,3,3,0,0,601
82,1,13,1,29100,1,606
28,0,10,1,280,0,610
41,0,11,2,72000,0,624
33,0,5,3,5200,0,626
75,1,10,1,8320,0,635
45,0,15,1,64000,1,643
45,0,13,6,85000,1,652
56,0,14,1,325000,,668
27,0,14,4,81000,1,672
60,0,11,2,39200,1,680
76,0,3,3,9600,1,681
26,0,13,1,0,0,
55,0,16,1,63000,1,691
59,0,11,1,76000,1,
32,0,8,1,0,0,714
53,,14,1,159000,0,721
74,0,11,2,62000,,725
65,0,9,1,,0,743
,0,11,3,36000,1,746
22,0,11,1,2600,0,751
38,0,7,1,1000,1,756
47,0,10,1,110000,1,761
44,0,,3,40800,1,762
23,0,11,1,29000,0,765
68,1,9,1,25200,0,766
52,1,9,4,84000,1,772
39,0,5,3,25000,1,775
70,0,10,3,16300,1,
19,0,9,1,6300,0,785
33,0,11,1,5100,0,787
,0,9,1,32000,1,792
24,0,3,3,0,1,796
,0,12,4,17900,0,807
62,0,6,1,0,0,808
40,1,3,3,0,1,811
72,1,9,1,9500,1,829
42,0,9,3,30000,1,831
24,0,7,3,5540,1,834
64,0,14,1,80200,,842
47,0,9,3,62000,1,850
,0,9,3,12000,0,852
45,0,1,3,9000,0,860
57,0,16,1,251000,1,
23,0,5,3,18000,0,866
26,0,10,3,13000,,868
21,1,9,1,,1,870
54,0,13,1,56420,1,
67,0,11,1,2000,1,878
39,1,13,1,0,1,
